song_id,song_name,artist_name,played_at,date,time,duration,context_type
2m9CL3s0ucVKB0vYkmqHZT,Bol Mari Ambe,Kedar Upadhyay,2023-10-03T17:18:19.850Z,2023-10-03,17:18:19,224951,1
3aJ4TCaUebbNZRncpKAK4V,Char Char Bangdi Vali,Kinjal Dave,2023-10-03T17:12:20.732Z,2023-10-03,17:12:20,185190,1
37EmIfnVUgFO947tDJKbRp,Sanedo Sanedo,Parthiv Gohil,2023-10-03T17:09:15.156Z,2023-10-03,17:09:15,342987,1
1PMSNNFWK2sFY35ctfRK9O,Dakla,Bandish Projekt,2023-10-03T17:00:54.662Z,2023-10-03,17:00:54,261330,1
4gAyDEnSnkfROZyFM8nO2X,Nahi Melu Re DJ,Various Artists,2023-10-03T16:56:08.104Z,2023-10-03,16:56:08,105397,1
4vhguOr1E1kVctgsSd5oLB,Oli Rupli Mele,Various Artists,2023-10-03T16:54:22.252Z,2023-10-03,16:54:22,482415,1
6aDGQIRlVclPYGnJvDrgh0,Vithal Vithal Vithalla,Falguni Pathak,2023-10-03T16:46:19.565Z,2023-10-03,16:46:19,277280,1
6qhTVtHIsK8WVf7biagk7O,Moti Veraana (From Songs of Faith),Amit Trivedi,2023-10-03T16:33:42.840Z,2023-10-03,16:33:42,256399,1
2HSMa3CObm7H0ERyZ3FPH8,Kamariya,Darshan Raval,2023-10-03T16:29:26.010Z,2023-10-03,16:29:26,251640,1
36ZzA1a6JtvMIGmGm2ztEN,Kesariyo,Aishwarya Majmudar,2023-10-03T16:25:13.647Z,2023-10-03,16:25:13,207364,1
4easPOu3zSJCK6js56K909,Tari Madh Mithi Madh Mithi Vaate,Jigardan Gadhavi,2023-10-03T16:20:45.608Z,2023-10-03,16:20:45,124225,1
1cg3WGh3wLHLdhjAGr9M9D,Kailash Ke Niwasi,Gajendra Pratap Singh,2023-10-03T16:16:36.233Z,2023-10-03,16:16:36,175324,0
6QRPV2rgnmOTZAvzJLDStt,"Hukum (From ""Rajini The Jailer"")",Anirudh Ravichander,2023-10-03T16:13:40.138Z,2023-10-03,16:13:40,207647,0
54Hc1gLEzfRuCxTW2ovJt5,Rutho Jo Tum (Lo-Fi),Mohit Lalwani,2023-10-03T13:02:31.122Z,2023-10-03,13:02:31,102906,0
2luU2xG9GtUMW1sCdgRWhb,Kishori Kuch,Jainen,2023-10-03T13:02:25.415Z,2023-10-03,13:02:25,157480,0
6JzkVtUNPBUUdAAhBrLTLK,Ram Mere Sage,Narci,2023-10-03T12:20:42.237Z,2023-10-03,12:20:42,194396,0
0lKILDCwOjyR54xYhBazuJ,Ram Siya Ram,Sachet Tandon,2023-10-03T12:14:14.433Z,2023-10-03,12:14:14,265264,0
3NcqsdOoNs8gmS2AoKDwlC,Hanuman Chalisa Superfast,Brijesh Shandilya,2023-10-03T12:09:46.069Z,2023-10-03,12:09:46,256052,0
0ErXZ1NMqOEFGJPQvU9OKF,Mar Jawaan,Salim–Sulaiman,2023-10-03T11:29:42Z,2023-10-03,11:29:42,236286,1
3Bq7CnWgfvplEzGSVXUvOe,Ay Hairathe,A.R. Rahman,2023-10-03T11:26:29.759Z,2023-10-03,11:26:29,369120,1
5O4AGvOVFSs5ipu3iNOuoi,Soniye,Himesh Reshammiya,2023-10-03T11:20:20.311Z,2023-10-03,11:20:20,296720,1
3GXnz7MM5tMl7bvkTPx8WQ,Bheegey Hont,Anu Malik,2023-10-03T11:15:22.722Z,2023-10-03,11:15:22,271986,1
02N5ZxOVugGQmKeIT0VXUx,Tu Meri Dost Hain,A.R. Rahman,2023-10-03T11:10:50.638Z,2023-10-03,11:10:50,373173,1
1RprEDRSTkQN3UhSiQ0D5t,Jaadu Hai Nasha,M. M. Keeravani,2023-10-03T11:04:36.405Z,2023-10-03,11:04:36,328573,1
7Esjmr77c4SU5IlMtym7Ho,Khabar Nahi,Vishal-Shekhar,2023-10-03T10:59:07.754Z,2023-10-03,10:59:07,259120,1
6TMfIoPi0DdkxRxpARTnUv,Pal Pal Har Pal,Shantanu Moitra,2023-10-03T10:54:47.986Z,2023-10-03,10:54:47,273146,1
0dZjWF8uklfNUHiPS2vC6E,Maine Dil Se Kaha,M. M. Keeravani,2023-10-03T10:50:14.373Z,2023-10-03,10:50:14,312786,1
0GVPRo9LEjxjT4C4o8BGot,Is This Love,Pritam,2023-10-03T10:45:00.988Z,2023-10-03,10:45:00,329167,1
4GrzhbZQQc9SrU4Vo6J3WY,Yoon Shabnami,Monty Sharma,2023-10-03T10:39:31.119Z,2023-10-03,10:39:31,315360,1
